"Index.year","Reference.year..main.","Protocol.order","Country","categoria","valor","col"
2013,2010,26,"FI","WORK",74.5,"white"
2013,2010,27,"SE","WORK",80.4,"white"
2015,2012,0,"EU","WORK",70.2,"black"
2015,2012,1,"BE","WORK",72.8,"white"
2015,2012,2,"BG","WORK",68.7,"black"
2015,2012,3,"CZ","WORK",65.3,"black"
2015,2012,4,"DK","WORK",79.7,"white"
2015,2012,5,"DE","WORK",70.6,"black"
2015,2012,6,"EE","WORK",71.4,"black"
2015,2012,7,"IE","WORK",73.7,"white"
2015,2012,8,"EL","WORK",63.6,"black"
2015,2012,9,"ES","WORK",72.3,"white"
2015,2012,10,"FR","WORK",71.9,"black"
2015,2012,11,"HR","WORK",68.3,"black"
2015,2012,12,"IT","WORK",62.4,"black"
2015,2012,13,"CY","WORK",68.9,"black"
2015,2012,14,"LV","WORK",74.3,"white"
2015,2012,15,"LT","WORK",72.6,"white"
2015,2012,16,"LU","WORK",72.5,"white"
2015,2012,17,"HU","WORK",66.4,"black"
2015,2012,18,"MT","WORK",68.2,"black"
2015,2012,19,"NL","WORK",76.2,"white"
2015,2012,20,"AT","WORK",75.6,"white"
2015,2012,21,"PL","WORK",66.6,"black"
2015,2012,22,"PT","WORK",71.4,"black"
2015,2012,23,"RO","WORK",67.8,"black"
2015,2012,24,"SI","WORK",71.3,"black"
2015,2012,25,"SK","WORK",64.9,"black"
2015,2012,26,"FI","WORK",74.8,"white"
2015,2012,27,"SE","WORK",81.4,"white"
2017,2015,0,"EU","WORK",70.6,"black"
2017,2015,1,"BE","WORK",73.8,"white"
2017,2015,2,"BG","WORK",68.6,"black"
2017,2015,3,"CZ","WORK",66.1,"black"
2017,2015,4,"DK","WORK",79.2,"white"
2017,2015,5,"DE","WORK",71.4,"black"
2017,2015,6,"EE","WORK",72.1,"black"
2017,2015,7,"IE","WORK",73.9,"white"
2017,2015,8,"EL","WORK",64.2,"black"
2017,2015,9,"ES","WORK",72.4,"white"
2017,2015,10,"FR","WORK",72.1,"black"
2017,2015,11,"HR","WORK",69.4,"black"
2017,2015,12,"IT","WORK",62.4,"black"
2017,2015,13,"CY","WORK",70.7,"black"
2017,2015,14,"LV","WORK",73.6,"white"
2017,2015,15,"LT","WORK",73.2,"white"
2017,2015,16,"LU","WORK",74,"white"
2017,2015,17,"HU","WORK",67.2,"black"
2017,2015,18,"MT","WORK",71,"black"
2017,2015,19,"NL","WORK",76.7,"white"
2017,2015,20,"AT","WORK",76.1,"white"
2017,2015,21,"PL","WORK",66.8,"black"
2017,2015,22,"PT","WORK",72,"black"
2017,2015,23,"RO","WORK",67.1,"black"
2017,2015,24,"SI","WORK",71.8,"black"
2017,2015,25,"SK","WORK",65.5,"black"
2017,2015,26,"FI","WORK",74.7,"white"
2017,2015,27,"SE","WORK",82.6,"white"
2019,2017,0,"EU","WORK",71.1,"black"
2019,2017,1,"BE","WORK",74.1,"white"
2019,2017,2,"BG","WORK",69,"black"
2019,2017,3,"CZ","WORK",67,"black"
2019,2017,4,"DK","WORK",79.6,"white"
2019,2017,5,"DE","WORK",72.1,"black"
2019,2017,6,"EE","WORK",71.5,"black"
2019,2017,7,"IE","WORK",75.5,"white"
2019,2017,8,"EL","WORK",64.2,"black"
2019,2017,9,"ES","WORK",72.9,"white"
2019,2017,10,"FR","WORK",72.4,"white"
2019,2017,11,"HR","WORK",69.2,"black"
2019,2017,12,"IT","WORK",63.1,"black"
2019,2017,13,"CY","WORK",70.7,"black"
2019,2017,14,"LV","WORK",74.2,"white"
2019,2017,15,"LT","WORK",73.6,"white"
2019,2017,16,"LU","WORK",74.1,"white"
2019,2017,17,"HU","WORK",67.4,"black"
2019,2017,18,"MT","WORK",73.3,"white"
2019,2017,19,"NL","WORK",77.4,"white"
2019,2017,20,"AT","WORK",76.6,"white"
2019,2017,21,"PL","WORK",67,"black"
2019,2017,22,"PT","WORK",72.5,"white"
2019,2017,23,"RO","WORK",67.7,"black"
2019,2017,24,"SI","WORK",73.3,"white"
2019,2017,25,"SK","WORK",66.5,"black"
2019,2017,26,"FI","WORK",74.9,"white"
2019,2017,27,"SE","WORK",83,"white"
2020,2018,0,"EU","WORK",71.4,"black"
2020,2018,1,"BE","WORK",74.7,"white"
2020,2018,2,"BG","WORK",69,"black"
2020,2018,3,"CZ","WORK",67,"black"
2020,2018,4,"DK","WORK",79.7,"white"
2020,2018,5,"DE","WORK",72.1,"black"
2020,2018,6,"EE","WORK",72.1,"black"
2020,2018,7,"IE","WORK",75.9,"white"
2020,2018,8,"EL","WORK",64.4,"black"
2020,2018,9,"ES","WORK",73.2,"white"
2020,2018,10,"FR","WORK",72.8,"white"
2020,2018,11,"HR","WORK",69.9,"black"
2020,2018,12,"IT","WORK",63.3,"black"
2020,2018,13,"CY","WORK",70.8,"black"
2020,2018,14,"LV","WORK",74,"white"
2020,2018,15,"LT","WORK",74.1,"white"
2020,2018,16,"LU","WORK",75.2,"white"
2020,2018,17,"HU","WORK",68,"black"
2020,2018,18,"MT","WORK",75.4,"white"
2020,2018,19,"NL","WORK",77.8,"white"
2020,2018,20,"AT","WORK",76.4,"white"
2020,2018,21,"PL","WORK",67.3,"black"
2020,2018,22,"PT","WORK",72.9,"white"
2020,2018,23,"RO","WORK",67.6,"black"
2020,2018,24,"SI","WORK",73.1,"white"
2020,2018,25,"SK","WORK",66.6,"black"
2020,2018,26,"FI","WORK",75.4,"white"
2020,2018,27,"SE","WORK",82.9,"white"
2021,2019,0,"EU","WORK",71.6,"black"
2021,2019,1,"BE","WORK",74.9,"white"
2021,2019,2,"BG","WORK",69.6,"black"
2021,2019,3,"CZ","WORK",67.4,"black"
2021,2019,4,"DK","WORK",79.4,"white"
2021,2019,5,"DE","WORK",72.4,"white"
2021,2019,6,"EE","WORK",72.5,"white"
2021,2019,7,"IE","WORK",76.5,"white"
2021,2019,8,"EL","WORK",65.3,"black"
2021,2019,9,"ES","WORK",73.7,"white"
2021,2019,10,"FR","WORK",73.2,"white"
2021,2019,11,"HR","WORK",70.1,"black"
2021,2019,12,"IT","WORK",63.7,"black"
2021,2019,13,"CY","WORK",70.6,"black"
2021,2019,14,"LV","WORK",74.3,"white"
2021,2019,15,"LT","WORK",74.2,"white"
2021,2019,16,"LU","WORK",76.3,"white"
2021,2019,17,"HU","WORK",68,"black"
2021,2019,18,"MT","WORK",76.8,"white"
2021,2019,19,"NL","WORK",78.3,"white"
2021,2019,20,"AT","WORK",76.8,"white"
2021,2019,21,"PL","WORK",67.2,"black"
2021,2019,22,"PT","WORK",73.2,"white"
2021,2019,23,"RO","WORK",67.5,"black"
2021,2019,24,"SI","WORK",73,"white"
2021,2019,25,"SK","WORK",66.8,"black"
2021,2019,26,"FI","WORK",75.5,"white"
2021,2019,27,"SE","WORK",83.1,"white"
2022,2020,0,"EU","WORK",71.7,"black"
2022,2020,1,"BE","WORK",75.5,"white"
2022,2020,2,"BG","WORK",69.3,"black"
2022,2020,3,"CZ","WORK",67.1,"black"
2022,2020,4,"DK","WORK",79.5,"white"
2022,2020,5,"DE","WORK",72.9,"white"
2022,2020,6,"EE","WORK",72.7,"white"
2022,2020,7,"IE","WORK",76.5,"white"
2022,2020,8,"EL","WORK",65.6,"black"
2022,2020,9,"ES","WORK",73.6,"white"
2022,2020,10,"FR","WORK",73.2,"white"
2022,2020,11,"HR","WORK",69.7,"black"
2022,2020,12,"IT","WORK",63.2,"black"
2022,2020,13,"CY","WORK",69.9,"black"
2022,2020,14,"LV","WORK",74.2,"white"
2022,2020,15,"LT","WORK",73.9,"white"
2022,2020,16,"LU","WORK",76.3,"white"
2022,2020,17,"HU","WORK",67.5,"black"
2022,2020,18,"MT","WORK",77,"white"
2022,2020,19,"NL","WORK",78.7,"white"
2022,2020,20,"AT","WORK",77.2,"white"
2022,2020,21,"PL","WORK",67.3,"black"
2022,2020,22,"PT","WORK",73.4,"white"
2022,2020,23,"RO","WORK",67.3,"black"
2022,2020,24,"SI","WORK",73.4,"white"
2022,2020,25,"SK","WORK",66.5,"black"
2022,2020,26,"FI","WORK",75.4,"white"
2022,2020,27,"SE","WORK",83,"white"
2013,2010,0,"EU","MONEY",79.1,"white"
2013,2010,1,"BE","MONEY",85.5,"white"
2013,2010,2,"BG","MONEY",60.8,"black"
2013,2010,3,"CZ","MONEY",73.8,"black"
2013,2010,4,"DK","MONEY",83.6,"white"
2013,2010,5,"DE","MONEY",83.2,"white"
2013,2010,6,"EE","MONEY",65.5,"black"
2013,2010,7,"IE","MONEY",85.5,"white"
2013,2010,8,"EL","MONEY",75.3,"black"
2013,2010,9,"ES","MONEY",77.1,"white"
2013,2010,10,"FR","MONEY",83.5,"white"
2013,2010,11,"HR","MONEY",68.6,"black"
2013,2010,12,"IT","MONEY",78.9,"white"
2013,2010,13,"CY","MONEY",80.7,"white"
2013,2010,14,"LV","MONEY",58.9,"black"
2013,2010,15,"LT","MONEY",60.8,"black"
2013,2010,16,"LU","MONEY",91.8,"white"
2013,2010,17,"HU","MONEY",70.8,"black"
2013,2010,18,"MT","MONEY",79.2,"white"
2013,2010,19,"NL","MONEY",86.6,"white"
2013,2010,20,"AT","MONEY",82.8,"white"
2013,2010,21,"PL","MONEY",69.5,"black"
2013,2010,22,"PT","MONEY",71.8,"black"
2013,2010,23,"RO","MONEY",59.8,"black"
2013,2010,24,"SI","MONEY",80.3,"white"
2013,2010,25,"SK","MONEY",70.2,"black"
2013,2010,26,"FI","MONEY",84.1,"white"
2013,2010,27,"SE","MONEY",85.3,"white"
2015,2012,0,"EU","MONEY",79.1,"white"
2015,2012,1,"BE","MONEY",85.6,"white"
2015,2012,2,"BG","MONEY",60.5,"black"
2015,2012,3,"CZ","MONEY",74,"black"
2015,2012,4,"DK","MONEY",85.7,"white"
2015,2012,5,"DE","MONEY",84,"white"
2015,2012,6,"EE","MONEY",64.9,"black"
2015,2012,7,"IE","MONEY",84.4,"white"
2015,2012,8,"EL","MONEY",71.1,"black"
2015,2012,9,"ES","MONEY",76,"black"
2015,2012,10,"FR","MONEY",83.7,"white"
2015,2012,11,"HR","MONEY",68.9,"black"
2015,2012,12,"IT","MONEY",78.7,"white"
2015,2012,13,"CY","MONEY",81.7,"white"
2015,2012,14,"LV","MONEY",59.6,"black"
2015,2012,15,"LT","MONEY",64.3,"black"
2015,2012,16,"LU","MONEY",92.1,"white"
2015,2012,17,"HU","MONEY",69.8,"black"
2015,2012,18,"MT","MONEY",80.6,"white"
2015,2012,19,"NL","MONEY",87,"white"
2015,2012,20,"AT","MONEY",83.6,"white"
2015,2012,21,"PL","MONEY",70.3,"black"
2015,2012,22,"PT","MONEY",71.7,"black"
2015,2012,23,"RO","MONEY",59.2,"black"
2015,2012,24,"SI","MONEY",81.3,"white"
2015,2012,25,"SK","MONEY",72.1,"black"
2015,2012,26,"FI","MONEY",84.8,"white"
2015,2012,27,"SE","MONEY",85.3,"white"
2017,2015,0,"EU","MONEY",80.1,"white"
2017,2015,1,"BE","MONEY",87.5,"white"
2017,2015,2,"BG","MONEY",61.9,"black"
2017,2015,3,"CZ","MONEY",75.9,"black"
2017,2015,4,"DK","MONEY",86.6,"white"
2017,2015,5,"DE","MONEY",84.2,"white"
2017,2015,6,"EE","MONEY",66.7,"black"
2017,2015,7,"IE","MONEY",84.7,"white"
2017,2015,8,"EL","MONEY",70.7,"black"
2017,2015,9,"ES","MONEY",75.9,"black"
2017,2015,10,"FR","MONEY",86.1,"white"
2017,2015,11,"HR","MONEY",69.9,"black"
2017,2015,12,"IT","MONEY",78.6,"white"
2017,2015,13,"CY","MONEY",79.2,"white"
2017,2015,14,"LV","MONEY",64.3,"black"
2017,2015,15,"LT","MONEY",65.6,"black"
2017,2015,16,"LU","MONEY",94.4,"white"
2017,2015,17,"HU","MONEY",70.7,"black"
2017,2015,18,"MT","MONEY",82.4,"white"
2017,2015,19,"NL","MONEY",86.8,"white"
2017,2015,20,"AT","MONEY",85.9,"white"
2017,2015,21,"PL","MONEY",73.3,"black"
2017,2015,22,"PT","MONEY",70.9,"black"
2017,2015,23,"RO","MONEY",59.4,"black"
2017,2015,24,"SI","MONEY",81.6,"white"
2017,2015,25,"SK","MONEY",74,"black"
2017,2015,26,"FI","MONEY",86.4,"white"
2017,2015,27,"SE","MONEY",87.5,"white"
2019,2017,0,"EU","MONEY",81.1,"white"
2019,2017,1,"BE","MONEY",88.3,"white"
2019,2017,2,"BG","MONEY",61.8,"black"
2019,2017,3,"CZ","MONEY",76.7,"white"
2019,2017,4,"DK","MONEY",87.1,"white"
2019,2017,5,"DE","MONEY",86,"white"
2019,2017,6,"EE","MONEY",69.4,"black"
2019,2017,7,"IE","MONEY",85.5,"white"
2019,2017,8,"EL","MONEY",71.4,"black"
2019,2017,9,"ES","MONEY",76.7,"white"
2019,2017,10,"FR","MONEY",86.4,"white"
2019,2017,11,"HR","MONEY",72.2,"black"
2019,2017,12,"IT","MONEY",78.8,"white"
2019,2017,13,"CY","MONEY",80.8,"white"
2019,2017,14,"LV","MONEY",65.5,"black"
2019,2017,15,"LT","MONEY",64.7,"black"
2019,2017,16,"LU","MONEY",91.8,"white"
